# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
3013.1 9933 -40.855 94.630 2.419 76.990 3.121 1.255 1.979 2328 1541 1935 0.8897 -0.5434 0.1731 72.14
3023.1 9927 -41.235 94.152 2.465 77.180 3.119 1.252 1.976 2307 1550 1929 0.8117 -0.5018 0.1549 72.13
3033.1 9915 -41.556 93.691 2.499 77.305 3.117 1.25 1.973 2288 1557 1923 0.7342 -0.4585 0.1379 72.11
3043.1 9902 -41.882 93.261 2.515 77.397 3.114 1.247 1.971 2270 1563 1916 0.6569 -0.4143 0.1213 72.09
3053.1 9887 -42.198 92.860 2.493 77.437 3.111 1.245 1.968 2253 1567 1910 0.5802 -0.3695 0.1054 72.06
3063.1 9876 -42.552 92.469 2.476 77.513 3.106 1.243 1.964 2237 1572 1904 0.5038 -0.3247 0.08953 72.04
3073.1 9863 -42.914 92.146 2.422 77.542 3.103 1.24 1.962 2224 1575 1899 0.4273 -0.2793 0.07397 72.02
3083.1 9853 -43.320 91.864 2.457 77.568 3.1 1.239 1.959 2212 1577 1895 0.3506 -0.2341 0.05825 72
3093.1 9838 -43.695 91.612 2.517 77.501 3.096 1.236 1.956 2203 1577 1890 0.2755 -0.1881 0.04366 71.98
3103.1 9822 -44.046 91.350 2.505 77.424 3.092 1.234 1.953 2194 1576 1885 0.2007 -0.1422 0.02926 71.95
3113.1 9806 -44.410 91.128 2.534 77.334 3.086 1.232 1.95 2186 1574 1880 0.1269 -0.09603 0.01544 71.93
3123.1 9784 -44.614 90.756 2.485 77.288 3.074 1.231 1.945 2171 1575 1873 0.0569 -0.05044 0.003228 71.88
3133.1 9773 -45.040 90.588 2.443 77.211 3.069 1.23 1.943 2165 1573 1869 -0.01688 -0.004817 -0.01085 71.86
3143.1 9757 -45.430 90.373 2.364 77.117 3.06 1.229 1.939 2158 1572 1865 -0.08791 0.04102 -0.02344 71.83
3153.1 9736 -45.710 90.147 2.408 76.977 3.05 1.228 1.935 2150 1568 1859 -0.1584 0.08677 -0.03581 71.79
3163.1 9713 -45.996 89.980 2.456 76.777 3.042 1.227 1.932 2145 1562 1853 -0.2287 0.1322 -0.04823 71.75
3173.1 9692 -46.296 89.811 2.373 76.595 3.033 1.226 1.928 2140 1556 1848 -0.2977 0.1777 -0.05996 71.71
3183.1 9675 -46.722 89.796 2.462 76.336 3.028 1.224 1.925 2141 1547 1844 -0.37 0.2225 -0.07375 71.68
3193.1 9652 -46.954 89.570 2.415 76.182 3.014 1.224 1.92 2133 1543 1838 -0.4349 0.2673 -0.08381 71.63
3203.1 9626 -47.264 89.451 2.478 75.887 3.005 1.222 1.916 2131 1533 1832 -0.5027 0.3115 -0.09562 71.58
3213.1 9603 -47.570 89.376 2.406 75.626 2.997 1.222 1.913 2129 1524 1826 -0.5708 0.3548 -0.108 71.54
3223.1 9581 -47.880 89.305 2.435 75.359 2.989 1.222 1.911 2127 1514 1821 -0.6378 0.3976 -0.1201 71.5
3233.1 9560 -48.342 89.303 2.443 75.014 2.982 1.22 1.907 2130 1503 1816 -0.7042 0.4401 -0.1321 71.46
3243.1 9546 -48.780 89.338 2.458 74.769 2.976 1.221 1.906 2131 1493 1812 -0.7714 0.4816 -0.1449 71.43
3253.1 9528 -49.208 89.424 2.464 74.433 2.973 1.22 1.905 2135 1479 1807 -0.8383 0.522 -0.1582 71.4
